No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
4919    0.0171041       5    3351       166.13711      -77.498032      0.00
4930  0.000624818       5    3386       166.30273      -77.372299     54.85
4931   0.00141620       5    3399       166.66205      -77.360153     32.73
4932    0.0465712       5    3342       166.53627      -77.493362      0.51
4951   0.00898167       5    3562       166.86614      -77.429604     16.57
5014   0.00189042       5    2312       167.00603      -77.491470      0.00
5025   0.00237490       5    3599       166.85204      -77.407936     32.72
5081   0.00459135       5    3073       167.08197      -77.319519      0.00
5083   0.00509966       5    3130       166.93083      -77.457504      0.00
5089  0.000369164       5    3026       166.75615      -77.393745     33.97
5095   0.00689820       5    3261       166.73779      -77.345131     11.23
5100    0.0113724       5    3157       166.50316      -77.450676      6.44
5105    0.0154534       5    3193       166.41600      -77.441254      6.78
5111    0.0111420       5    3201       166.32704      -77.421776     13.18
5121    0.0104580       5    3267       166.52670      -77.302979      0.00
5123    0.0207878       5    3294       166.47502      -77.344208      5.30
5153   0.00166159       5    3581       166.58014      -77.333397     39.17
5155    0.0203529       5    3620       166.65364      -77.439255     15.98
5168    0.0211572       5    3840       166.40984      -77.468956     26.93
5171    0.0173683       5    4039       166.33743      -77.402122     34.27
5198  0.000157823       5    2914       166.77467      -77.405693     34.50
5229    0.0214223       5    3661       166.22574      -77.386475      5.05
5249   0.00886632       5    3707       166.70113      -77.484055      0.00
5273   0.00254100       5    3019       166.12181      -77.340858      0.00
5276   0.00346523       5    3118       166.68472      -77.443527      5.01
5282   0.00502283       5    3122       166.23908      -77.336365      1.02
5296   0.00285776       5    3188       166.81581      -77.344040     14.10
5315   0.00498761       5    3186       166.22453      -77.392296      5.80
5316    0.0208472       5    3089       166.95897      -77.342751      0.00
5321   0.00198870       5    3220       166.47092      -77.436661     22.66
5325   0.00994967       5    3299       166.36978      -77.359360      4.63
5341   0.00441556       5    3363       166.72139      -77.388336     31.68
5343    0.0307978       5    3393       166.39053      -77.290985      0.00
5383    0.0626828       5    3812       167.02023      -77.473915      0.00
5396    0.0558730       5    4231       166.38409      -77.405075     23.35
5429  0.000917446       5    2874       166.52086      -77.295532      0.00
5430  0.000460319       5    2823       166.63916      -77.369743     19.06
5436  5.49451e-06       5    3367       166.82178      -77.380272    201.43
5443  0.000791258       5    3571       166.60298      -77.379471     45.26
5473    0.0211079       5    3927       166.29765      -77.386536     11.64
5478  0.000486045       5    3001       166.68773      -77.367836     13.76
5510   0.00896014       5    3204       166.22104      -77.328613      0.00
5512   0.00123331       5    3174       166.32285      -77.442131     17.31
5547    0.0128426       5    3301       166.35442      -77.422531     14.00
5548   0.00775469       5    3435       166.25207      -77.360077      4.90
5556    0.0151629       5    3360       166.20842      -77.348328      1.35
5565    0.0133548       5    3471       166.90395      -77.416237     13.24
5577    0.0203842       5    3688       166.67600      -77.336823     12.89
5590    0.0144953       5    4095       166.56227      -77.326324     34.11
5646    0.0140864       5    3714       166.75609      -77.430511     13.38
5658   0.00804670       5    4788       166.38464      -77.432816     50.23
5685   0.00125478       5    3039       166.63802      -77.373344     22.25
5697   0.00203808       5    3057       166.77975      -77.415939     18.80
5719   0.00873202       5    3232       166.39491      -77.313370      0.00
5734    0.0192506       5    3262       166.89516      -77.452332      0.00
5738    0.0320404       5    3290       166.71948      -77.320007      0.00
5741    0.0110585       5    3345       166.68227      -77.474243      4.20
5755    0.0145160       5    3274       166.82756      -77.322083      0.00
5763    0.0110597       5    3405       166.88286      -77.419907     12.44
5767    0.0327042       5    3548       166.94777      -77.481705      0.00
5769    0.0123875       5    3620       166.83073      -77.342102     13.71
5771    0.0492241       5    3612       166.96144      -77.492867      0.00
5836  7.34156e-05       5    2238       166.72560      -77.396111     32.19
5838   0.00277226       5    3304       166.42218      -77.467400     12.95
5846    0.0198098       5    3552       166.70030      -77.498375      0.00
5855    0.0560927       5    3860       166.51294      -77.314384      0.00
5860    0.0157699       5    4203       166.84068      -77.415962     31.46
5867  0.000655414       5    3412       166.65572      -77.435501     27.47
5875   0.00143419       5    3014       167.06838      -77.292824      0.00
5881   0.00208644       5    3018       166.11487      -77.422356      0.00
5903   0.00155114       5    3191       166.47502      -77.433823     17.94
5918   0.00267972       5    3179       166.60927      -77.436478     14.77
5933  0.000319935       5    3220       166.67380      -77.394112     57.85
5974    0.0133413       5    3430       166.52469      -77.475517      7.99
5978    0.0355958       5    3494       166.34611      -77.306747      0.00
5984    0.0265714       5    3582       167.07771      -77.441315      0.00
6027  0.000300249       5    3006       166.88455      -77.389046     17.41
6031  1.66875e-05       5    2995       166.58037      -77.398476     65.22
6047    0.0108418       5    3415       166.58926      -77.301064      0.00
6058    0.0383424       5    3630       167.00766      -77.371674      0.00
6076   0.00600510       5    4685       166.48578      -77.354553     50.80
6083   0.00600082       5    3579       166.19076      -77.396523      3.95
6097   0.00313024       5    3056       166.82953      -77.446671      6.40
6139  0.000428326       5    3205       166.62813      -77.395599     45.66
6143   0.00681578       5    3212       167.07170      -77.306099      0.00
6145   0.00951146       5    3253       166.23908      -77.491592      0.00
6156    0.0105564       5    3180       166.64314      -77.499069      0.00
6161   0.00412586       5    3334       166.50551      -77.445381     17.98
6180   0.00271042       5    3356       166.39961      -77.478813     27.77
6185    0.0159127       5    3503       166.69276      -77.435837      7.14
6186   0.00346797       5    3470       166.76741      -77.405319     27.43
6198    0.0545843       5    3730       166.12952      -77.404930      0.00
6224   0.00115688       5    2997       166.75571      -77.300720      0.00
6234   0.00206719       5    2933       166.36786      -77.309448      0.00
6247   0.00503399       5    3244       166.18181      -77.343468      0.60
6252   0.00943411       5    3423       166.90756      -77.291542      0.00
6259    0.0246734       5    3705       166.18738      -77.357246      2.90
6260    0.0160297       5    3536       166.26366      -77.377144      6.48
6262    0.0137160       5    3658       166.31868      -77.327057     11.79
6265   0.00653200       5    3749       166.32535      -77.332169     17.82
6275    0.0184324       5    4599       166.79521      -77.399529     33.46
6310   0.00213892       5    3169       166.16055      -77.413383      1.24
6317   0.00353033       5    3084       166.78494      -77.456795      4.18
6320   0.00261008       5    3166       166.48730      -77.330284      5.57
6321   0.00337963       5    3070       166.94684      -77.465866      0.00
6337   0.00647949       5    3145       166.44846      -77.310715      0.00
6341   0.00663042       5    3091       166.13995      -77.385986      0.45
6366    0.0120074       5    3329       166.46890      -77.315811      0.00
6368    0.0113096       5    3293       167.02733      -77.467300      0.00
6398    0.0440254       5    3614       166.45496      -77.483307      3.28
6456  0.000447631       5    2295       166.89690      -77.394203     12.63
6458   0.00934409       5    3299       166.57719      -77.298004      0.00
6461   0.00344892       5    3403       166.40736      -77.484154      8.98
6463   0.00671923       5    3354       166.81926      -77.304695      0.00
6480  0.000852800       5    3791       166.57387      -77.344925     57.46
6481    0.0491638       5    3883       167.09033      -77.427910      0.00
