No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
-10378     0.084830000       5    4297       166.66809      -77.343744     16.00
-10853     0.084830000       5    3839       166.85864      -77.373453     18.00
-10593     0.084830000       5    3307       166.73469      -77.395733     34.00
-9926     0.084830000       5    4487       166.46789      -77.366425     40.00
-6696     0.084050000       5    6086       166.93968      -77.408747      7.00
-17740     0.083280000       5    3329       166.47233      -77.353825      1.00
-17532     0.083280000       5    4872       166.22342      -77.381697      6.00
-10186     0.083280000       5    4141       166.59083      -77.321278     13.00
-10341     0.083280000       5    4208       166.65112      -77.334450     15.00
-17669     0.082520000       5    4579       166.42645      -77.362422      0.00
-10489     0.082520000       5    3412       166.67981      -77.431600      7.00
-10907     0.082520000       5    6139       166.87908      -77.405039     13.00
-10831     0.080270000       5    6075       166.85426      -77.350122     24.00
-10606     0.078800000       5    3968       166.73212      -77.423175      8.00
-10421     0.078800000       5    3622       166.67570      -77.367500      9.00
-17856     0.078080000       5    3740       166.40995      -77.342647      3.00
-17712     0.077370000       5    4144       166.39110      -77.357011      4.00
-10018     0.077370000       5    4967       166.49345      -77.385153     32.00
-10539     0.076660000       5    4937       166.68884      -77.459603     25.00
-17456     0.075950000       5    4920       166.23701      -77.400283      5.00
-10666     0.075950000       5    5978       166.75320      -77.437214     17.00
-10358     0.075950000       5    5238       166.64784      -77.371636     22.00
-10340     0.075260000       5    4199       166.61648      -77.435992      9.00
-10095     0.075260000       5    4149       166.51910      -77.426508     14.00
-10864     0.075260000       4    5925       166.85413      -77.395736     18.00
-10440     0.075260000       4    5819       166.65652      -77.453675     23.00
-9831     0.075260000       5    3166       166.41285      -77.391578     24.00
-10937     0.073880000       5    5964       166.90212      -77.381717     55.00
-18051     0.073880000       5    5129       166.52069      -77.321622      5.00
-10649     0.073880000       4    5836       166.77476      -77.344747     10.00
-6695     0.073210000       5    3231       166.96764      -77.408864      5.00
-9903     0.073210000       5    3411       166.45658      -77.370983     32.00
-11003     0.072540000       5    5020       166.93722      -77.417750     23.00
-17914     0.072540000       5    4418       166.39401      -77.336208      3.00
-17775     0.072540000       5    5944       166.44974      -77.351153      5.00
-6645     0.072540000       5    6122       166.66490      -77.448603      6.00
-6670     0.071870000       4    5817       166.87582      -77.430847      2.00
-6673     0.071870000       5    3761       166.93946      -77.429322     10.00
-11043     0.071870000       5    4967       166.96525      -77.402661     23.00
